Feature ID	Test stat.	pval	pval_fdr	pval_bon
D_0__Bacteria;D_1__Candidate division WS6	0.0301649492822	0.318708195882	0.453754041595	1.0
D_0__Bacteria;D_1__Candidate division OP3	0.0290595889934	0.336775026745	0.471485037443	1.0
D_0__Bacteria;D_1__CKC4	-0.0285083977392	0.34602503833	0.476493495405	1.0
D_0__Bacteria;D_1__Acetothermia	0.0274612265199	0.364038820668	0.493213886067	1.0
D_0__Bacteria;D_1__Nitrospirae	0.0263627674562	0.38355177142	0.511402361893	1.0
D_0__Bacteria;D_1__LD1-PA38	0.0253737579861	0.401656431954	0.52717406694	1.0
D_0__Bacteria;D_1__Deinococcus-Thermus	-0.0179811506072	0.55233904096	0.713791991395	1.0
D_0__Bacteria;D_1__Thermotogae	-0.0173265680627	0.566901281879	0.721510722392	1.0
D_0__Bacteria;D_1__LCP-89	0.0124892517753	0.679801458851	0.852288396171	1.0
D_0__Bacteria;D_1__RsaHF231	-0.0102179487844	0.735613245408	0.908698714916	1.0
D_0__Archaea;D_1__Woesearchaeota (DHVEG-6)	-0.00906305218978	0.764558117153	0.930766403491	1.0
D_0__Bacteria;D_1__Gemmatimonadetes	0.00746833591998	0.805063853898	0.966076624677	1.0
D_0__Bacteria;D_1__Fibrobacteres	0.00650958618742	0.829677605183	0.981590406131	1.0
D_0__Archaea;D_1__Aigarchaeota	-0.00525492606246	0.862138291122	1.0	1.0
D_0__Bacteria;D_1__OC31	-0.000786819277904	0.979256715154	1.0	1.0
D_0__Archaea;D_1__Ancient Archaeal Group(AAG)	nan	nan	1.0	nan
D_0__Archaea;D_1__Marine Hydrothermal Vent Group(MHVG)	nan	nan	1.0	nan
D_0__Archaea;D_1__Nanoarchaeota	nan	nan	1.0	nan
D_0__Archaea;D_1__Nanohaloarchaeota	nan	nan	1.0	nan
D_0__Archaea;D_1__uncultured archaeon	nan	nan	1.0	nan
D_0__Archaea;D_1__uncultured bacterium	nan	nan	1.0	nan
D_0__Bacteria;D_1__Calescamantes	nan	nan	1.0	nan
D_0__Bacteria;D_1__Chrysiogenetes	nan	nan	1.0	nan
D_0__Bacteria;D_1__S2R-29	nan	nan	1.0	nan
D_0__Bacteria;D_1__SBYG-2791	nan	nan	1.0	nan
D_0__Bacteria;D_1__Thermodesulfobacteria	nan	nan	1.0	nan
