Feature ID	Test stat.	pval	pval_fdr	pval_bon	taxonomy
HQ114038.1.1467	0.156227553	5.92E-05	0.000667288	0.017349478	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN825638.1.1424	0.142404686	0.000256715	0.002785833	0.075217485	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KC854998.1.1470	0.130112378	0.000849505	0.008889462	0.248904937	D_0__Bacteria; D_1__Hydrogenedentes; D_2__soil bacterium WWH121; D_3__soil bacterium WWH121; D_4__soil bacterium WWH121; D_5__soil bacterium WWH121; D_6__soil bacterium WWH121
KM016298.1.1470	0.129221482	0.000922885	0.009324324	0.2704054	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured Fusobacteria bacterium; D_3__uncultured Fusobacteria bacterium; D_4__uncultured Fusobacteria bacterium; D_5__uncultured Fusobacteria bacterium; D_6__uncultured Fusobacteria bacterium
DQ395923.1.1540	0.126974821	0.001134709	0.011082328	0.332469845	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
JN442174.1.1462	0.119675658	0.002170627	0.020515929	0.635993803	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured organism; D_3__uncultured organism; D_4__uncultured organism; D_5__uncultured organism; D_6__uncultured organism
CU922188.1.1374	0.113746321	0.003584582	0.032821332	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KC492888.1.1388	0.106831976	0.006254628	0.055533513	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
JN178355.1.1565	0.104198426	0.0076708	0.066104245	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ120905.1.1520	0.100075729	0.010466924	0.087623107	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
KM108683.1.1507	0.089016309	0.022875802	0.18618361	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured Telmatobacter sp.; D_3__uncultured Telmatobacter sp.; D_4__uncultured Telmatobacter sp.; D_5__uncultured Telmatobacter sp.; D_6__uncultured Telmatobacter sp.
AY218548.1.1508	0.087252739	0.025734956	0.203793032	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
AJ390454.1.1354	0.084141124	0.031533845	0.243142545	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured soil bacterium PBS-III-24; D_3__uncultured soil bacterium PBS-III-24; D_4__uncultured soil bacterium PBS-III-24; D_5__uncultured soil bacterium PBS-III-24; D_6__uncultured soil bacterium PBS-III-24
JQ337709.1.1409	0.081070164	0.038317901	0.287875513	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
HQ178888.1.1459	0.078920796	0.043770025	0.320615435	1	D_0__Bacteria; D_1__Hydrogenedentes; D_2__uncultured bacterium; D_3__uncultured bacterium; D_4__uncultured bacterium; D_5__uncultured bacterium; D_6__uncultured bacterium
