	515rcbc32	515rcbc25	515rcbc16	515rcbc34	515rcbc29	515rcbc11	515rcbc31	515rcbc33	515rcbc10	515rcbc9	515rcbc8	515rcbc12	515rcbc27	515rcbc19	515rcbc30	515rcbc23	515rcbc22	515rcbc28	515rcbc37	515rcbc17	515rcbc14	515rcbc35	515rcbc18	515rcbc13	515rcbc36	515rcbc15	515rcbc24	515rcbc21	515rcbc26	515rcbc20
515rcbc32	0.0	0.154308493321	0.0974109279747	0.131824799555	0.163452337599	0.104615698843	0.091226214556	0.127148207485	0.0996382345176	0.0968389269756	0.060415229868	0.173653550368	0.122042797593	0.0933630904944	0.121769363051	0.10233387622	0.0682723304942	0.115012076661	0.15767406607	0.178341121325	0.128819425726	0.111005505369	0.123580832746	0.108985218162	0.290382888997	0.212053452381	0.126469144239	0.085602440256	0.124632793972	0.121563883525
515rcbc25	0.154308493321	0.0	0.117733220083	0.15781494085	0.171561456433	0.212864067215	0.216782020575	0.111455023315	0.13701175943	0.115397862487	0.169738360753	0.23980316002	0.198074060223	0.204884791475	0.141715677797	0.126095202129	0.115470053838	0.112817453338	0.228302917682	0.144337567297	0.111330339281	0.190043854588	0.123378370155	0.182574185835	0.316745604196	0.169721994908	0.119489655526	0.158517436826	0.167564249701	0.16658331249
515rcbc16	0.0974109279747	0.117733220083	0.0	0.124119118413	0.136096371084	0.111230491423	0.128495568449	0.0612372435696	0.108704492394	0.074087035903	0.120761472885	0.16254913787	0.119000466852	0.10453601187	0.0978377341429	0.0708676387516	0.0423608834238	0.084656167328	0.147855034108	0.140158640278	0.0520683311727	0.163095064303	0.130724477008	0.108243552541	0.238641991276	0.177607557397	0.113553707313	0.107393357957	0.151547572289	0.0980646045557
515rcbc34	0.131824799555	0.15781494085	0.124119118413	0.0	0.0558768487141	0.152752523165	0.143643076176	0.128452325787	0.0667499479817	0.088537499902	0.102821312101	0.211699472523	0.0953356643072	0.130042728021	0.0615539510421	0.11404190263	0.115373788666	0.126820082532	0.116356731171	0.0749814791947	0.151327459504	0.095073071313	0.0703562363974	0.0845905169363	0.246981780705	0.0973538791101	0.0626276474269	0.134618803375	0.104083299973	0.0778174501995
515rcbc29	0.163452337599	0.171561456433	0.136096371084	0.0558768487141	0.0	0.157955689989	0.157338982949	0.135154232885	0.106144555521	0.120991276086	0.13184586961	0.216948534604	0.0902157906848	0.144587535962	0.0972682430761	0.129034879006	0.135544170742	0.158675069805	0.102252411001	0.0658702428179	0.168490026081	0.137961347244	0.104376455412	0.108883219807	0.22262324926	0.0805191488612	0.0945456973579	0.166316298393	0.148529832394	0.0760116950066
515rcbc11	0.104615698843	0.212864067215	0.111230491423	0.152752523165	0.157955689989	0.0	0.0585472269008	0.138423665286	0.14923880937	0.143410831762	0.112496913538	0.154002164487	0.0815134617376	0.0404831926716	0.148791427471	0.128149218578	0.105961208835	0.165764223455	0.100774776386	0.192252727188	0.154937263289	0.168407574388	0.175451797749	0.110704812703	0.228181214535	0.22485797987	0.1713022021	0.125521135892	0.180385389899	0.110025249627
515rcbc31	0.091226214556	0.216782020575	0.128495568449	0.143643076176	0.157338982949	0.0585472269008	0.0	0.166099033377	0.129636243218	0.14138206707	0.0842614977318	0.135789870347	0.0785281265959	0.052387445485	0.146268398653	0.11794537342	0.115806351774	0.161881300821	0.09941495528	0.195448202857	0.171383261208	0.133437459342	0.164079926323	0.0930949336251	0.239176829052	0.223420381046	0.160986541881	0.118790197875	0.160917508197	0.104083299973
515rcbc33	0.127148207485	0.111455023315	0.0612372435696	0.128452325787	0.135154232885	0.138423665286	0.166099033377	0.0	0.130979218029	0.0928260021043	0.144606746423	0.21658972993	0.139741825442	0.135154232885	0.106952741381	0.116404467268	0.0712585277548	0.110704812703	0.168093889108	0.127322861699	0.0759751421336	0.181077024741	0.130042728021	0.140455607855	0.260416333333	0.166933120341	0.121403825676	0.130554373517	0.161640891416	0.123558353286
515rcbc10	0.0996382345176	0.13701175943	0.108704492394	0.0667499479817	0.106144555521	0.14923880937	0.129636243218	0.130979218029	0.0	0.079652020969	0.082259751195	0.181720175606	0.112915897906	0.123603308118	0.0677413381097	0.085926325031	0.0911957601354	0.100249688279	0.141342766981	0.113063404041	0.130639452948	0.0835995746932	0.0698808509775	0.0777460252646	0.261533936612	0.136544660988	0.0704745817062	0.0997496867163	0.0924061085042	0.0897217922246
515rcbc9	0.0968389269756	0.115397862487	0.074087035903	0.088537499902	0.120991276086	0.143410831762	0.14138206707	0.0928260021043	0.079652020969	0.0	0.104376455412	0.197526369548	0.124163870215	0.12122064364	0.0519080383413	0.0843603382323	0.0690008051483	0.0638574802022	0.155384826944	0.110478756128	0.0918029290261	0.119582607431	0.0811377429643	0.102821312101	0.275509628789	0.1481553239	0.0559265391185	0.104109984578	0.0968102382097	0.10677078252
515rcbc8	0.060415229868	0.169738360753	0.120761472885	0.102821312101	0.13184586961	0.112496913538	0.0842614977318	0.144606746423	0.082259751195	0.104376455412	0.0	0.18389308488	0.0982626864866	0.0979228721438	0.112768198827	0.113087969691	0.0948390449364	0.139323763627	0.13287420952	0.154919333848	0.159234278833	0.07453559925	0.10543560436	0.0982909513186	0.28115831839	0.185172592164	0.111105555417	0.113357840488	0.119489655526	0.103682206767
515rcbc12	0.173653550368	0.23980316002	0.16254913787	0.211699472523	0.216948534604	0.154002164487	0.135789870347	0.21658972993	0.181720175606	0.197526369548	0.18389308488	0.0	0.163842743033	0.152260741274	0.206921885422	0.127191893522	0.169574631226	0.184436077454	0.169345143945	0.251296637463	0.18106168378	0.217038143089	0.234236347877	0.13946325681	0.198843880693	0.268369562772	0.217728168953	0.176194337152	0.228010720996	0.148230301296
515rcbc27	0.122042797593	0.198074060223	0.119000466852	0.0953356643072	0.0902157906848	0.0815134617376	0.0785281265959	0.139741825442	0.112915897906	0.124163870215	0.0982626864866	0.163842743033	0.0	0.0716472842007	0.114842887846	0.110050493461	0.111679103785	0.157020876178	0.0453382350291	0.137981480239	0.163299316186	0.132056385264	0.133374993492	0.0747217059049	0.210039678791	0.159460897332	0.125808496445	0.131782649338	0.149480582165	0.0562237593114
515rcbc19	0.0933630904944	0.204884791475	0.10453601187	0.130042728021	0.144587535962	0.0404831926716	0.052387445485	0.135154232885	0.123603308118	0.12122064364	0.0979228721438	0.152260741274	0.0716472842007	0.0	0.120531231545	0.114114951791	0.0962057979311	0.143759057686	0.0941334749763	0.175261709072	0.144568322948	0.143759057686	0.153893902847	0.0849509662492	0.230012076978	0.207912909118	0.148548533034	0.103440804328	0.151749061868	0.098544969994
515rcbc30	0.121769363051	0.141715677797	0.0978377341429	0.0615539510421	0.0972682430761	0.148791427471	0.146268398653	0.106952741381	0.0677413381097	0.0519080383413	0.112768198827	0.206921885422	0.114842887846	0.120531231545	0.0	0.101707642016	0.0942514367707	0.0883490552047	0.138944433338	0.0852773253698	0.11606990231	0.114624992427	0.0732954447577	0.0919540948276	0.259122450676	0.122474487139	0.0568135351635	0.109493784704	0.0920748487796	0.100774776386
515rcbc23	0.10233387622	0.126095202129	0.0708676387516	0.11404190263	0.129034879006	0.128149218578	0.11794537342	0.116404467268	0.085926325031	0.0843603382323	0.113087969691	0.127191893522	0.110050493461	0.114114951791	0.101707642016	0.0	0.0734468817884	0.076847612556	0.134701315675	0.143391461082	0.0945456973579	0.139761701955	0.118766811675	0.0808633964714	0.230084525531	0.166883192683	0.101105005921	0.0966091783079	0.129828947294	0.0781735959971
515rcbc22	0.0682723304942	0.115470053838	0.0423608834238	0.115373788666	0.135544170742	0.105961208835	0.115806351774	0.0712585277548	0.0911957601354	0.0690008051483	0.0948390449364	0.169574631226	0.111679103785	0.0962057979311	0.0942514367707	0.0734468817884	0.0	0.0869546497383	0.148361420562	0.141205130533	0.0767390962215	0.139403491109	0.110729901612	0.101187394911	0.262488094968	0.176320415406	0.103333333333	0.0849509662492	0.129077926506	0.0987702159335
515rcbc28	0.115012076661	0.112817453338	0.084656167328	0.126820082532	0.158675069805	0.165764223455	0.161881300821	0.110704812703	0.100249688279	0.0638574802022	0.139323763627	0.184436077454	0.157020876178	0.143759057686	0.0883490552047	0.076847612556	0.0869546497383	0.0	0.18310591956	0.148585927253	0.0781024967591	0.146439217577	0.11401754251	0.115662343819	0.276164202363	0.178403413022	0.0969535971483	0.0922255688817	0.107574263754	0.13036274178
515rcbc37	0.15767406607	0.228302917682	0.147855034108	0.116356731171	0.102252411001	0.100774776386	0.09941495528	0.168093889108	0.141342766981	0.155384826944	0.13287420952	0.169345143945	0.0453382350291	0.0941334749763	0.138944433338	0.134701315675	0.148361420562	0.18310591956	0.0	0.154470421476	0.18923823903	0.15909466085	0.162207000808	0.0942514367707	0.183212081115	0.170782512766	0.154236470683	0.159077199987	0.176713830183	0.0767028899934
515rcbc17	0.178341121325	0.144337567297	0.140158640278	0.0749814791947	0.0658702428179	0.192252727188	0.195448202857	0.127322861699	0.113063404041	0.110478756128	0.154919333848	0.251296637463	0.137981480239	0.175261709072	0.0852773253698	0.143391461082	0.141205130533	0.148585927253	0.154470421476	0.0	0.160260205083	0.156133845715	0.0871461097493	0.144164258169	0.263754936763	0.0536449231314	0.0774237976622	0.173012523631	0.146040329285	0.120991276086
515rcbc14	0.128819425726	0.111330339281	0.0520683311727	0.151327459504	0.168490026081	0.154937263289	0.171383261208	0.0759751421336	0.130639452948	0.0918029290261	0.159234278833	0.18106168378	0.163299316186	0.144568322948	0.11606990231	0.0945456973579	0.0767390962215	0.0781024967591	0.18923823903	0.160260205083	0.0	0.191572440607	0.152807067899	0.136768254926	0.254001312333	0.195306027671	0.13268592825	0.126798177344	0.167829278336	0.134391633337
515rcbc35	0.111005505369	0.190043854588	0.163095064303	0.095073071313	0.137961347244	0.168407574388	0.133437459342	0.181077024741	0.0835995746932	0.119582607431	0.07453559925	0.217038143089	0.132056385264	0.143759057686	0.114624992427	0.139761701955	0.139403491109	0.146439217577	0.15909466085	0.156133845715	0.191572440607	0.0	0.0968676072448	0.108781125814	0.303790863735	0.174722001413	0.106196882147	0.132203546767	0.0870823365174	0.128754719439
515rcbc18	0.123580832746	0.123378370155	0.130724477008	0.0703562363974	0.104376455412	0.175451797749	0.164079926323	0.130042728021	0.0698808509775	0.0811377429643	0.10543560436	0.234236347877	0.133374993492	0.153893902847	0.0732954447577	0.118766811675	0.110729901612	0.11401754251	0.162207000808	0.0871461097493	0.152807067899	0.0968676072448	0.0	0.123040192169	0.301616017848	0.111455023315	0.0471404520791	0.118532695911	0.0788810637747	0.121974496424
515rcbc13	0.108985218162	0.182574185835	0.108243552541	0.0845905169363	0.108883219807	0.110704812703	0.0930949336251	0.140455607855	0.0777460252646	0.102821312101	0.0982909513186	0.13946325681	0.0747217059049	0.0849509662492	0.0919540948276	0.0808633964714	0.101187394911	0.115662343819	0.0942514367707	0.144164258169	0.136768254926	0.108781125814	0.123040192169	0.0	0.211883091455	0.163724022537	0.110754984839	0.104243305141	0.115325625947	0.0572033410058
515rcbc36	0.290382888997	0.316745604196	0.238641991276	0.246981780705	0.22262324926	0.228181214535	0.239176829052	0.260416333333	0.261533936612	0.275509628789	0.28115831839	0.198843880693	0.210039678791	0.230012076978	0.259122450676	0.230084525531	0.262488094968	0.276164202363	0.183212081115	0.263754936763	0.254001312333	0.303790863735	0.301616017848	0.211883091455	0.0	0.269567554922	0.281849053376	0.282302044705	0.316350719578	0.193448241714
